date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:23	79357/79357	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Apr%202022%2004:56:03%20GMT	https://i.ibb.co/RYT4ttp/FRONT.png	C:/My%20Web%20Sites/taptouch/i.ibb.co/RYT4ttp/FRONT.png	(from http://pospal.com.au/taptouch/)
12:50:26	8899/8899	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Apr%202022%2003:38:38%20GMT	https://i.ibb.co/NTDFsRT/icon3.png	C:/My%20Web%20Sites/taptouch/i.ibb.co/NTDFsRT/icon3.png	(from http://pospal.com.au/taptouch/)
12:50:28	8146/8146	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Apr%202022%2003:37:30%20GMT	https://i.ibb.co/H4zX4cH/icon2.png	C:/My%20Web%20Sites/taptouch/i.ibb.co/H4zX4cH/icon2.png	(from http://pospal.com.au/taptouch/)
12:50:30	9895/9895	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Apr%202022%2003:36:14%20GMT	https://i.ibb.co/d45CRfX/ms.png	C:/My%20Web%20Sites/taptouch/i.ibb.co/d45CRfX/ms.png	(from http://pospal.com.au/taptouch/)
12:50:39	219027/219027	---M--	200	added ('OK')	image/png	etag:%2235793-5dbf57779d5a5%22	http://pospal.com.au/wp-content/uploads/2022/04/one-tap.png	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/uploads/2022/04/one-tap.png	(from http://pospal.com.au/taptouch/)
12:51:14	555612/555612	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Apr%202022%2003:16:42%20GMT	https://i.ibb.co/cXYbVcd/cafe.png	C:/My%20Web%20Sites/taptouch/i.ibb.co/cXYbVcd/cafe.png	(from http://pospal.com.au/taptouch/)
12:51:18	248196/248196	---M--	200	added ('OK')	image/png	etag:%223c984-5dc5895d6d674%22	http://pospal.com.au/wp-content/uploads/2022/04/printe.png	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/uploads/2022/04/printe.png	(from http://pospal.com.au/taptouch/)
12:51:20	7591/7591	---M--	200	added ('OK')	image/jpeg	etag:%221da7-5a4fa36386c80%22	http://pospal.com.au/wp-content/uploads/2020/05/IMG_4192.JPG-150x150.jpg	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/uploads/2020/05/IMG_4192.JPG-150x150.jpg	(from http://pospal.com.au/taptouch/)
12:51:21	7744/7744	---M--	200	added ('OK')	image/jpeg	etag:%221e40-5a4fa337a8500%22	http://pospal.com.au/wp-content/uploads/2020/05/IMG_4183.JPG-1-150x150.jpg	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/uploads/2020/05/IMG_4183.JPG-1-150x150.jpg	(from http://pospal.com.au/taptouch/)
12:51:23	7208/7208	---M--	200	added ('OK')	image/jpeg	etag:%221c28-5a4fa31553400%22	http://pospal.com.au/wp-content/uploads/2020/05/IMG_4400.JPG-150x150.jpg	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/uploads/2020/05/IMG_4400.JPG-150x150.jpg	(from http://pospal.com.au/taptouch/)
